ref,CMN,x_lon,y_lat
children_under_five,1001,7.77285915366564,45.3660280633973
children_under_five,1002,7.48246650298867,44.9170349390455
children_under_five,1003,7.29826642820314,45.3150120863778
children_under_five,1004,7.94510963794715,45.4352006778883
children_under_five,1006,7.40789206386592,45.1152108144837
children_under_five,1007,7.57762152792865,45.4091536458125
children_under_five,1008,7.52372090605714,45.097368107218
children_under_five,1009,7.86758946995651,45.0363952838915
children_under_five,1010,7.8786696476335,45.5276326373224
children_under_five,1011,7.21951032894168,44.8453265734351
children_under_five,1012,7.89871077302553,45.0401514987988
children_under_five,1013,7.40038570463926,45.0832060153112
children_under_five,1014,7.98911839008206,45.4244914024959
children_under_five,1015,7.75471978994134,45.3828099141567
children_under_five,1016,7.52001552315733,45.2707997399017
children_under_five,1017,7.74244432543849,45.4061629890179
children_under_five,1018,7.80966419856486,45.067344028714
children_under_five,1019,7.22621449389642,45.3055847946581
children_under_five,1020,7.85774310746735,45.4553367681689
children_under_five,1021,7.6286774082639,45.2924046716744
children_under_five,1022,6.70247918901459,45.0758627266381
children_under_five,1023,7.87117535793957,45.324170577125
children_under_five,1024,7.59124923819,45.0156633289524
children_under_five,1025,7.29021259470814,44.796222437694
children_under_five,1026,7.11617189507506,44.8072238571051
children_under_five,1027,7.94607521532793,45.4700693647211
children_under_five,1028,7.65749503832948,45.1519963962
children_under_five,1029,7.66715874765625,45.4154628294067
children_under_five,1030,7.85318228157688,45.5130931877928
children_under_five,1031,7.98810246864581,45.3620361376692
children_under_five,1032,7.24262679630882,45.1214075219739
children_under_five,1033,7.76587844780131,45.2681209512118
children_under_five,1034,7.83776709941021,45.1782826865711
children_under_five,1035,7.30140380127024,44.826121642974
children_under_five,1036,7.80114642670287,45.4947546965639
children_under_five,1037,8.06842288382078,45.1150328820986
children_under_five,1038,7.47409561216274,45.0162134156813
children_under_five,1039,8.0620767874374,45.1493327352924
children_under_five,1040,7.19417814338064,45.1416300033609
children_under_five,1041,7.41942679997773,44.8765744597632
children_under_five,1042,7.93303330222134,45.4801243042508
children_under_five,1043,7.65748530096146,45.3298425170704
children_under_five,1044,7.14315696805522,45.1394860313638
children_under_five,1045,7.43271703591314,45.0746243390692
children_under_five,1046,7.51400097962051,45.2435622514602
children_under_five,1047,7.88868676706607,45.2963709050515
children_under_five,1048,7.77784024779514,44.9732511856351
children_under_five,1049,7.32276477475308,44.8033922303184
children_under_five,1050,7.88559468151221,45.3284219000372
children_under_five,1051,7.59743823310495,44.9582763124779
children_under_five,1052,7.59660846087196,45.3744036548682
children_under_five,1053,7.3344043801139,44.9461241949765
children_under_five,1054,7.38167210835642,45.3418288903347
children_under_five,1055,7.34285904129256,45.1192141499282
children_under_five,1056,7.95991385009019,45.39922202464
children_under_five,1057,7.80985019807479,45.5831882096992
children_under_five,1058,7.67159862802232,44.9058358274543
children_under_five,1059,7.72052500753197,44.8492656878364
children_under_five,1060,7.93766244732538,45.1309547524232
children_under_five,1061,7.90469886991711,45.4795260519889
children_under_five,1062,7.48561383704917,45.1099100567594
children_under_five,1063,7.6423952894184,45.1750167162472
children_under_five,1064,7.88898405645836,45.1614229252445
children_under_five,1065,7.56552848548845,44.8988443289288
children_under_five,1066,7.70954249218151,45.3879776890392
children_under_five,1067,7.70107043797092,45.4292261868813
children_under_five,1068,7.81085169740687,45.1137755116305
children_under_five,1069,8.04598079078155,45.1501044574137
children_under_five,1070,7.37692604553217,44.7930900964735
children_under_five,1071,7.50071645998047,44.8614432438586
children_under_five,1072,7.38134611243802,45.314650151358
children_under_five,1073,7.24272575613259,45.432439409015
children_under_five,1074,6.79892938970784,44.9545836520097
children_under_five,1075,7.34035088137672,45.3635285993134
children_under_five,1076,7.16860679522231,45.1417533005295
children_under_five,1077,7.90307463409793,45.500180354885
children_under_five,1078,7.8232251500983,45.0089995304228
children_under_five,1079,7.65328964075128,45.4161865621849
children_under_five,1080,6.98320061643864,45.1187456955964
children_under_five,1081,7.32504735608602,45.1035941031429
children_under_five,1082,7.89726697630623,45.1969270852305
children_under_five,1083,7.75949939878594,45.3300632326553
children_under_five,1084,7.68308586922324,45.4400214019191
children_under_five,1085,7.91962253713496,45.0941473651775
children_under_five,1086,7.59963142813352,45.2292425342652
children_under_five,1087,6.75886695921454,44.9416447368209
children_under_five,1088,7.47517869842504,45.300336623051
children_under_five,1089,7.29955375323191,45.0529533051034
